src,dst,packets,duration,rate,mean,std,max,min,tcp,udp,dns,icmp,syn,ack,psh,fin,urg,rst,sport,dport
192.168.4.2,192.168.4.1,44030,124.5508830000129,353.5101393058405,41.17610719963661,48.264632189693664,1495,35,44030,0,0,0,0.0004769475357710652,0.9999772882125824,0.039132409720645016,0.0004542357483533954,0.0,4.542357483533954e-05,52000.0,3069.098364751306
192.168.4.2,95.89.140.248,38144,14.129364999999103,2699.625920910276,559.8941904362416,72.47796326884068,571,43,38144,0,0,0,7.86493288590604e-05,0.999921350671141,0.0072095218120805365,0.0,0.0,0.0,51996.10866715604,35444.75330327181
192.168.4.2,125.63.134.192,37614,10.927489000000145,3442.144851392621,1441.2796299250278,69.76705086229518,1495,47,37614,0,0,0,0.0,1.0,0.9997607273887382,0.0,0.0,0.0,49000.0,53949.0
125.63.134.192,192.168.4.2,37532,1079.8557189999995,34.756495094322894,48.28578279867846,21.478326328429095,468,47,37532,0,0,0,0.0,1.0,0.002611105190237664,0.0,0.0,0.0,53949.0,49000.0
188.49.90.11,192.168.4.2,34114,503.8493680000025,67.70674365517876,41.38210119012722,26.59893101410897,664,35,34114,0,0,0,0.0,1.0,0.0025502726153485374,2.9313478337339507e-05,0.0,0.0,49941.0,49000.0
192.168.4.2,188.49.90.11,33819,8.525095999999738,3966.99345086566,1423.1700227682663,254.21544149863826,2835,35,33819,0,0,0,0.0,0.9999704308229102,0.9524823324166889,2.956917708980159e-05,0.0,2.956917708980159e-05,49000.0,49941.0
99.139.238.149,192.168.4.2,31041,1175.6376010000058,26.40354474337696,1423.3899358912406,104.29592121562379,1487,504,31041,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,59073.0,49000.0
192.168.4.2,192.168.2.2,30101,7.452118999998443,4039.253801503477,42.52350420251819,50.58684405443704,1495,35,29946,155,0,0,0.0006010819475055099,0.999599278701663,0.037801375809790955,0.0004675081813931744,0.0,3.339344152808389e-05,51690.40513604199,1695.1573037440617
192.168.4.2,192.168.4.1,29924,78.33748899999952,381.9882457554924,41.29658468119236,47.699255294865324,1495,35,29924,0,0,0,0.000501269883705387,1.0,0.03772891324689213,0.0004678518914583612,0.0,3.34179922470258e-05,52000.0,1628.0983157331907
192.168.4.2,81.156.137.17,29872,8.595817000000395,3475.1786828405757,1438.0906199785752,94.16074330126739,1495,47,29862,10,0,0,0.0003013863773357444,1.0,0.9988279418659165,0.00023441162681669012,0.0,0.0,49000.0,65240.20042179968
81.156.137.17,192.168.4.2,29655,680.8359079999968,43.55675082871824,48.6642387455741,27.020844693046378,777,35,29645,10,0,0,0.00040479001517962555,0.9994265474784956,0.0036768426378815987,0.0003035925113847192,0.0,0.00016866250632484398,65234.22663968977,49000.0
192.168.4.2,192.168.2.2,27683,5.879554000000284,4708.350327252486,42.62410143409313,66.38968348286035,1523,35,27571,112,0,0,0.0006891298828479199,0.9995284900801567,0.02455478582568641,0.0005077799136774146,0.0,7.25399876682021e-05,51718.573853989816,1996.8094498428638
192.168.4.2,192.168.4.1,27541,58.97460099999672,466.99764869967555,41.511782433462834,63.892416335300794,1523,35,27541,0,0,0,0.0004720235285574235,0.9999636904978033,0.02425474746741222,0.0005083330307541484,0.0,7.261900439344976e-05,52000.0,1928.0847463781272
192.168.4.2,222.165.43.84,27498,8.466014999999876,3248.045272775964,1426.3089315586587,97.37871906235476,1495,35,27488,10,0,0,0.00018189755529685682,1.0,0.9983629220023282,0.00010913853317811408,0.0,0.0,49000.0,49362.13262782748
121.1.52.54,192.168.4.2,22719,556.5908889999978,40.81813132230429,41.10295347506492,28.859872703793616,498,35,22719,0,0,0,0.0,1.0,0.03490470531273383,0.0,0.0,0.0,52025.0,52000.0
24.16.217.191,192.168.4.2,20174,155.56594599999943,129.68133784240976,39.23535243382572,9.931063000786644,215,35,20174,0,0,0,0.00034698126301179735,0.9995538812332705,0.13388519877069496,0.00034698126301179735,0.0,0.0001982750074353128,55789.27793199167,52000.0
192.168.4.2,121.1.52.54,19983,21.18459799999998,943.2796411808248,2937.006155231947,1530.6010209551537,27775,35,19983,0,0,0,0.0,1.0,0.0691087424310664,0.0,0.0,0.0,52000.0,52025.0
24.210.69.112,192.168.4.2,19604,279.72560699999644,70.08296526817529,40.47138339114466,10.500666048165966,460,35,19604,0,0,0,5.100999795960008e-05,0.9999489900020404,0.2526525198938992,0.0,0.0,5.100999795960008e-05,3441.0,52000.0
192.168.4.2,24.210.69.112,19521,31.115905000000062,627.3640442082582,3972.5778392500383,2462.8047743905577,13175,35,19521,0,0,0,5.122688386865427e-05,1.0,0.14804569438041085,0.0,0.0,0.0,52000.0,3441.0
192.168.4.2,222.210.72.170,19089,95.29243400001317,200.3202059042522,545.5400492430196,87.26770135105247,571,47,19089,0,0,0,0.0,1.0,0.23778092094923778,5.2386191000052386e-05,0.0,0.0,12000.0,20571.0
192.168.4.2,202.115.141.109,19013,97.89141300001127,194.22541178354234,555.9026455583022,180.42490303218858,2635,35,19013,0,0,0,0.0,1.0,0.24357018881817705,5.259559248934939e-05,0.0,0.0,12000.0,1835.0
192.168.4.1,192.168.4.2,18655,1.4399699999999858,12955.13100967394,6260.04733315465,3185.5104450123486,39455,35,18492,142,0,21,0.0011356262167423752,0.9988102963443651,0.22490806835388277,0.001081548777849881,0.0,0.00010815487778498811,3122.333583489681,51571.95014741356
76.184.243.89,192.168.4.2,18651,429.6284360000005,43.41193095514743,37.80633746179829,6.166329444301339,224,35,18651,0,0,0,5.361642807356174e-05,0.9998927671438529,0.19484209961932336,0.0,0.0,0.00010723285614712348,1195.0,52000.0
192.168.2.2,192.168.4.2,18601,157.463064000003,118.12929030772351,6277.550454276652,3173.469099321654,39455,35,18459,142,0,0,0.0009751340809361287,0.9992957364971017,0.22460588330895498,0.0009209599653285661,0.0,0.0006500893872907525,3198.98940917155,51504.99564539541
192.168.4.2,76.184.243.89,18013,14.370364000000102,1253.482514430384,2095.88064175873,859.388945093237,4131,35,18013,0,0,0,5.551546105590407e-05,1.0,0.049186698495531006,0.0,0.0,0.0,52000.0,1195.0
99.139.238.149,192.168.4.2,17777,606.3448149999991,29.318301336509368,1423.5885132474546,109.22933664821346,1487,35,17775,2,0,0,5.6258790436005626e-05,0.999943741209564,0.999831223628692,0.0,0.0,0.0,59070.318445181976,49000.0
192.168.4.2,99.139.238.149,17478,77.28504100000006,226.14984444402359,43.71947591257581,54.17759867639613,440,35,17478,0,0,0,0.0,1.0,0.018251516191783956,0.0,0.0,0.0,49000.0,59073.0
192.168.4.2,86.173.154.203,17400,31.933508999999372,544.8821800322771,556.2940229885057,71.02817102586755,1487,35,17400,0,0,0,5.747126436781609e-05,1.0,0.24298850574712644,0.0,0.0,0.0,12000.0,51344.0
192.168.4.2,24.16.217.191,16736,23.5915720000004,709.4058844404144,3693.086878585086,2213.416960743743,21935,35,16736,0,0,0,0.0005975143403441683,0.9998207456978967,0.16449569789674953,0.0004182600382409178,0.0,0.0,51991.19502868069,55780.731716061186
95.89.140.248,192.168.4.2,16203,351.57381100000265,46.0870505511,52.50138863173486,14.256564915053186,312,35,16203,0,0,0,0.0,0.9995679812380424,0.1657100536937604,6.171696599395174e-05,0.0,0.00043201876195766216,35447.0,52000.0
192.168.4.2,192.168.2.2,58011,6.305945999998812,9199.412744735037,41.27132785161435,49.17184339355694,1495,35,57894,117,0,0,0.00024182125954330327,0.9998099975817875,0.032594051197015236,0.00019000241821259543,0.0,0.0,51867.37592870318,4220.5196083501405
192.168.4.2,192.168.4.1,57887,104.63193100001787,553.2441143611323,40.75231053604436,47.81237707602048,1495,35,57887,0,0,0,0.00029367560937688947,1.0,0.03244251731822344,0.00029367560937688947,0.0,0.0,52000.0,4196.52927254824
192.168.4.2,192.168.2.2,49988,31.118295000002405,1606.3862110696018,41.78548851724414,50.74190189996428,1495,35,49859,129,0,0,0.0006618664634268637,0.9994985860125554,0.036222146452997456,0.0005214705469423775,0.0,8.0226237991135e-05,39595.778666880055,11606.698627670641
192.168.4.2,192.168.4.1,37097,64.84775399999762,572.0629892594485,41.0273067903065,47.79145663186466,1495,35,37097,0,0,0,0.001024341590964229,0.9997034800657735,0.03566326118014934,0.0007817343720516484,0.0,0.00010782543062781356,51988.39092109874,4573.114187131035
66.93.217.114,192.168.4.2,24003,530.2733459999985,45.26533377749684,41.97658626005083,7.315473922790646,116,35,24003,0,0,0,0.0,0.9999583385410157,0.14544015331416907,4.166145898429363e-05,0.0,4.166145898429363e-05,1252.0,52000.0
192.168.4.1,192.168.4.2,23683,1.2303289999999587,19249.32274212897,6467.782333319258,3088.6797773812896,36535,35,23543,121,0,19,0.0007220829970691926,0.9992779170029308,0.2160727180053519,0.0007220829970691926,0.0,0.0,4217.7096651606635,51710.26369125533
192.168.4.2,59.92.180.63,23680,82.50315200000688,287.0193371520888,522.0616554054054,146.6402844727271,571,47,23680,0,0,0,0.0,1.0,0.014695945945945947,0.0,0.0,0.0,52000.0,54329.0
192.168.2.2,192.168.4.2,23627,182.78034100000954,129.26444863126045,6482.572776907775,3077.32065739172,36535,35,23506,121,0,0,0.0005955926146515784,0.9997447460222921,0.21577469582234324,0.0005955926146515784,0.0,0.00025525397770781926,4268.149659288102,51671.1612138655
189.115.15.100,192.168.4.2,22992,378.6050149999988,60.728197168756665,39.99069241475296,7.501722963842585,154,35,22992,0,0,0,4.349338900487126e-05,0.9999565066109951,0.16266527487821852,4.349338900487126e-05,0.0,4.349338900487126e-05,14750.0,52000.0
192.168.4.2,187.135.35.12,22946,45.18433299999817,507.83088908274755,547.584720648479,267.22473036358963,5599,35,22946,0,0,0,0.0001743223219733287,0.9998256776780267,0.0848078096400244,0.0,0.0,4.3580580493332174e-05,51993.40329469189,13966.685130305936
192.168.4.2,66.93.217.114,22332,60.33667600000079,370.1231403599314,2058.2169084721477,1094.8160423345166,10255,35,22332,0,0,0,0.0,1.0,0.04021135590184489,4.477879276374709e-05,0.0,0.0,52000.0,1252.0
88.151.101.186,192.168.4.2,21985,169.82345199999543,129.45797380211417,51.781259949965886,33.650795678757326,558,35,21985,0,0,0,9.097111667045713e-05,0.9992722310666363,0.05048896975210371,4.5485558335228565e-05,0.0,0.000727768933363657,33279.55433249943,51986.48915169434
192.168.2.2,192.168.4.2,20287,145.0113290000011,139.8994143416191,6433.266131019865,3152.89822710972,64275,35,20157,130,0,0,0.0016371483851763656,0.9992558416431017,0.22478543434042764,0.001488316713796696,0.0,0.0005457161283921218,11671.973036920195,39345.759501158376
192.168.4.2,59.96.39.154,20256,46.73168799999957,433.45320631260284,513.9506812796209,157.70348325727804,571,47,20256,0,0,0,0.0,1.0,0.01446484992101106,0.0,0.0,0.0,52000.0,42807.0
192.168.4.2,59.96.39.154,20147,58.76147099999583,342.8607156550153,514.5269767210999,157.00958674235744,571,47,20147,0,0,0,0.0,1.0,0.0149898247878096,0.0,0.0,0.0,52000.0,42807.0
192.168.4.2,189.115.15.100,19823,37.467562000000534,529.07098679118,2231.3724461484135,1322.128284756646,7035,35,19823,0,0,0,5.044645109216567e-05,1.0,0.03738082025929476,0.0,0.0,0.0,52000.0,14750.0
59.92.180.63,192.168.4.2,18260,439.68405999999914,41.52982029869365,54.274808324205914,8.348832039917552,171,47,18260,0,0,0,0.0,1.0,0.05947426067907995,0.0,0.0,0.0,54329.0,52000.0
192.168.4.2,88.151.101.186,17570,3.168747999999981,5544.776675204247,3570.8673875924874,2028.5024513601313,24663,35,17570,0,0,0,0.00011383039271485487,0.9999430848036426,0.01132612407512806,5.6915196357427435e-05,0.0,0.0,51983.09413773478,33280.9500284576
187.135.35.12,192.168.4.2,16731,277.86021199999976,60.21373078056967,52.045544199390356,13.616038008657354,1050,47,16731,0,0,0,5.9769290538521305e-05,0.9999402307094615,0.027195027195027196,0.0,0.0,0.0,13967.181818181818,52000.0
59.96.39.154,192.168.4.2,15914,236.39050700000058,67.320808275943,54.98209124041724,8.5502786065471,178,47,15914,0,0,0,0.0,1.0,0.060449918310921204,0.0,0.0,0.0,42807.0,52000.0
212.123.168.37,192.168.4.2,15701,131.98854900000126,118.95728924181029,39.08916629514044,11.541619970375073,523,35,15701,0,0,0,6.36902108145978e-05,0.9999363097891854,0.14011846379211515,0.0,0.0,6.36902108145978e-05,1157.0,52000.0
59.96.39.154,192.168.4.2,15397,285.4214460000022,53.944790119239606,54.96538286679223,8.675812129103903,177,47,15397,0,0,0,0.0,1.0,0.06475287393648113,0.0,0.0,0.0,42807.0,52000.0
192.168.4.1,192.168.4.2,15195,1.2458930000000055,12196.071412231977,6400.133464955577,3264.8708061166353,64275,35,15035,130,0,30,0.0019288327236448286,0.9980711672763551,0.22268041237113403,0.0017958097771865647,0.0,0.0005986032590621882,4615.890424481738,51453.676077657125
192.168.3.2,24.49.13.169,62542,37.681023000003165,1659.7744705602804,1457.1344376578938,69.53180292347875,1461,35,6,62536,0,0,0.6666666666666666,0.5,0.0,0.16666666666666666,0.0,0.0,40998.18216558473,34356.048335518535
